itemId,barcode,name,categoryId,kind,unit,trackBy,minStock,active,keterangan,artId
ITM-0037,ALQ-ITM-0037,Cat tembok putih,CAT-SIPIL,consumable,galon,quantity,1,TRUE,,
ITM-0038,ALQ-ITM-0038,Gembok,CAT-KEAMANAN,equipment,buah,quantity,(-),TRUE,,
ITM-0039,ALQ-ITM-0039,Senter,CAT-KEAMANAN,equipment,buah,instance,(-),TRUE,,
ITM-0040,ALQ-ITM-0040,Baterai AA,CAT-KEAMANAN,consumable,pak,quantity,3,TRUE,,
ITM-0041,ALQ-ITM-0041,Cooler box,CAT-PHBI,equipment,buah,instance,(-),TRUE,,
ITM-0042,ALQ-ITM-0042,Baskom besar,CAT-PHBI,equipment,buah,quantity,(-),TRUE,,
ITM-0043,ALQ-ITM-0043,Kantong daging,CAT-PHBI,consumable,pak,quantity,10,TRUE,,
ITM-0044,ALQ-ITM-0044,Asahan pisau,CAT-PHBI,equipment,buah,instance,(-),TRUE,,
ITM-0045,ALQ-ITM-0045,Sarung tangan karet,CAT-PHBI,consumable,pak,quantity,4,TRUE,,
ITM-0046,ALQ-ITM-0046,Tabung gas 12kg,CAT-LAIN,consumable,tabung,quantity,1,TRUE,,
ITM-0047,ALQ-ITM-0047,Kompor besar,CAT-LAIN,equipment,buah,instance,(-),TRUE,,
ITM-0048,ALQ-ITM-0048,Kran air cadangan,CAT-SANITASI,consumable,buah,quantity,2,TRUE,,
ITM-0049,ALQ-ITM-0049,Karpet gulung,CAT-LAIN,consumable,roll,quantity,(-),TRUE,,
ITM-0050,ALQ-ITM-0050,Papan pengumuman,CAT-LAIN,equipment,buah,instance,(-),TRUE,,
